ID,Player,Team,Location,Position,Salary,Age,GamesPlayed,Minutes,PointsPerGame,FGMade,FGAttempted,ThreesMade,ThreesAttempted,FTMade,FTAttempted,OffRebound,DefRebound,Rebounds,Assists,Steals,Blocks,TurnOvers,Efficiency,Fouls
69,Chris Clemons,HOU,Houston Rockets,Point Guard,563347,22,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,Chris Paul,OKC,Oklahoma City Thunder,Point Guard,38506482,35,63,35.1,15.1,7,14.8,1.2,3.5,4,5,0.7,5.4,6.1,3.3,1.1,0.7,1.9,19.8,2.4
71,Chris Silva,MIA,Miami Heat,Power Forward,466918,23,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8
72,Christian Wood,DET,Detroit Pistons,Power Forward,1645357,24,51,31.3,8.8,6.6,15.8,2.5,7.1,3.5,4.5,1.7,7.7,9.5,1.7,0.7,2.1,1.6,21.4,0.8
73,CJ McCollum,POR,Portland Trail Blazers,Shooting Guard,27556959,28,55,30.7,0,6,13.6,3,7.3,4.3,4.8,0.6,4.9,5.5,2.1,0.7,0.1,1.3,18.1,0
74,CJ Miles,WAS,Washington Wizards,,,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Clint Capela,ATL,Atlanta Hawks,Center,14896552,26,0,0,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9
76,Coby White,CHI,Chicago Bulls,Point Guard,5307120,20,63,31,12.4,7,15,1.9,5.1,3.1,3.7,0.3,3.4,3.7,4.1,0.7,0.2,2.5,16.6,1.4
77,Cody Martin,CHA,Charlotte Hornets,Small Forward,1173310,24,53,33.1,2.9,7.4,15,1.2,3,3,3.6,1.9,5.5,7.4,2.4,0.7,1.6,1.4,21.4,1.2
78,Cody Zeller,CHA,Charlotte Hornets,Center,14471910,27,61,31.7,11,6.7,14.2,2.7,6.7,2.8,3.4,0.3,2.3,2.6,3.2,1.1,0.2,2,15.8,2.5
