Location,Hemisphere,Satellite,Source,Operator,Type,Coverage,Remarks,Launch Date,Rocket
79,W,Americom-5,US,SES Americom,,Canada  CONUS  Mexico,,10/28/1998, Ariane 44L
79,W,Satcom C3,US,,,,,9/10/1992, Ariane 44LP
78.8,W,SKY MEXICO-1,,,,,,,
78,W,VENESAT-1,,,,,,,
77,W,EchoStar-4,US,Echostar/DISH Network,Direct Broadcasting,,Retired,5/8/1998, Proton
77,W,EchoStar-8,US,Echostar/DISH Network,Direct Broadcasting,,Deorbited,8/21/2002, Proton
77.1,W,ECHOSTAR-1,,,,,,,
77,W,QUETZSAT-1,,,,,,,
76.9,W,ECHOSTAR-8,,,,,,,
76.8,W,Galaxy 4R,US,,,,Inclined orbit,4/19/2000, Ariane 42L
76.2,W,INTELSAT-16,,,,,,,
76.2,W,GOES-13,,,,,,,
75,W,Brasilsat B1,Brazil,,,,,8/10/1994, Ariane 44LP
74.9,W,Galaxy-9,US,,,,spare,5/24/1996, Delta II (7925)
74,W,Horizons-2,US,Intelsat JSAT,Television and Radio Broadcasting,CONUS Canada Caribbean,20 Ku Xpndrs,12/21/2007, Ariane 5GS
72.7,W,EchoStar-6,US,Echostar/DISH Network,Direct Broadcasting,,,7/14/2000, Atlas II-AS
72.5,W,Directv-1R,US,,,,,10/10/1999, Zenit-3SL
72,W,AMC-6,US,SES Americom,,CONUS  Canada  Mexico  Caribbean  Central America,Hybrid C/Ku-band satellite; a portion of the Ku-band payload is dedicated to South America,10/22/2000, Proton-M
71.8,W,ARSAT-1,Argentina,,Direct Broadcasting,Argentina  Chile  Uruguay  Paraguay,First geostationary satellite built in Latin America,10/16/2014, Ariane 5ECA
71,W,Nahuel 1A,Argentina,,,,,1/30/1997, Ariane 44L
70,W,STAR ONE C2,,,,,,,
69.9,W,STAR ONE C4,,,,,,,
67,W,AMC-4,,,,,,,
67,W,AMC-3,,,,,,,
70,W,Brasilsat B4,Brazil,,,,,8/17/2000, Ariane 44LP
65,W,Brasilsat B2,Brazil,,,,,3/28/1995, Ariane 44LP+
65,W,STAR ONE C1,,,,,,,
63,W,Estrela do Sul 1,Brazil,,,,,1/11/2004, Zenit-3SL
63,W,TELSTAR-14R,,,,,,,
62.8,W,ABS-1A,,,,,,,
62.2,W,TDRS-3,,,,,,,
61.5,W,ECHOSTAR-16,,,,,,,
61.3,W,EchoStar-12,US,,,,Formerly Rainbow-1  purchased from VOOM,7/17/2003, Atlas V (521)
61.8,W,EchoStar-3,US,Echostar/DISH Network,Direct Broadcasting,,,10/5/1997, Atlas II-AS
61,W,Hispasat Amazonas,Spain,,,,,8/4/2004, Proton-M
58,W,Intelsat-9,US,,,28 July 2000  Zenit-3SL,formerly PAS-9,,
55.5,W,Intelsat-805,,Intelsat,,,,6/18/1998, Atlas II-AS
